Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Título,Precio,Moneda,Descripción,Tipo de vendedor,HP,Tracción
Porsche,Macan,2025.0,turbo electric,Blanco,Eléctrico,5.0,AUTOMÁTICA,,Sí,0.0,Porsche Macan Turbo Electric (g4) - Porsche Argentina,234000.0,US$,"En Nordenwagen S.A. somos el único importador y distribuidor exclusivo de Porsche para Argentina y Uruguay desde hace 32 años. Transmitimos el ADN Porsche, historia y valores de la marca; Perseguimos el entusiasmo del cliente con nuestros productos y servicios, la innovación y la sustentabilidad, abordando temas como la electro movilidad y el desarrollo de la red de cargas para vehículos eléctricos.Comercializamos vehículos nuevos y de re-estreno bajo el programa Porsche Approved, con asesores capacitados y certificados por Porsche AG.IMPORTANTE: EL PRECIO Y FOTOS DEL VEHÍCULO EXPUESTO EN LA PUBLICACIÓN CORRESPONDEN AL MODELO ENTRADA DE GAMA, Y SIN OPCIONALES SELECCIONADOS. (*IMÁGENES DE CARÁCTER ILUSTRATIVO*)- UNIDADES DE STOCK PROPIO PARA CONFIGURAR - PRUEBE NUESTRO CONFIGURADOR EN LA PÁGINA OFICIAL PORSCHE PARA SELECCIÓN DE COLORES, Y GRAN VARIEDAD DE OPCIONALESPORSCHE LANZA SU SEGUNDO MODELO TOTALMENTE ELÉCTRICO: EL NUEVO MACAN, CON MOTORES DE HASTA 639 CV (470 KW), OFRECE CARACTERÍSTICAS E-PERFORMANCE EN CUALQUIER TERRENO Y UNA ELEVADA VERSATILIDAD PARA EL USO DIARIO. LAS PRESTACIONES DE UN DEPORTIVO SE COMBINAN CON UNA CARGA RÁPIDA DE ALTO RENDIMIENTO, DE HASTA 270 KW, Y CON UNA AUTONOMÍA QUE LLEGA A 613 KILÓMETROS EN EL CICLO WLTP.DIEZ AÑOS DESPUÉS DE SU LANZAMIENTO, EL PORSCHE MACAN SE DIRIGE HACIA SU SEGUNDA GENERACIÓN, AHORA CON PROPULSIÓN CIEN POR CIEN ELÉCTRICA. CON LOS NUEVOS MACAN 4 Y MACAN TURBO, PORSCHE QUIERE SATISFACER POR COMPLETO LAS EXPECTATIVAS DE SUS CLIENTES QUE ELIGEN UN SUV. ESTO ES POSIBLE GRACIAS A UN DISEÑO EVOLUCIONADO Y ATEMPORAL, A LAS PRESTACIONES CARACTERÍSTICAS DE LOS MODELOS DE LA MARCA, A SU AUTONOMÍA PARA LARGOS RECORRIDOS Y A SU GRAN FUNCIONALIDAD EN EL DÍA A DÍA. PORSCHE UTILIZA EXCLUSIVAMENTE LA ÚLTIMA GENERACIÓN DE MOTORES ELÉCTRICOS DE IMANES PERMANENTES (PSM) EN LOS EJES DELANTERO Y TRASERO. GRACIAS A ELLO LOGRA UNA EFICIENCIA EXCELENTE Y HACE POSIBLE QUE LAS PRESTACIONES SE PUEDAN REPETIR DE FORMA ÓPTIMA UNA Y OTRA VEZ. LAS CIFRAS INDICAN POR SÍ MISMAS UN RENDIMIENTO DE PRIMERA: EN COMBINACIÓN CON EL LAUNCH CONTROL, EL MACAN 4 GENERA HASTA 408 CV (300 KW) DE POTENCIA EN MODO OVERBOOST, MIENTRAS QUE EL MACAN TURBO LLEGA HASTA 639 CV (470 KW). EL PAR MÁXIMO ES DE 650 Y 1.130 NM, RESPECTIVAMENTE, LO QUE GARANTIZA UNAS MAGNÍFICAS PRESTACIONES. EL MACAN 4 ACELERA DE 0 A 100 KM/H EN 5,2 SEGUNDOS, MIENTRAS QUE EL MACAN TURBO SOLO TARDA 3,3 SEGUNDOS. LAS DOS VERSIONES ALCANZAN UNA VELOCIDAD MÁXIMA DE 220 Y 260 KM/H, RESPECTIVAMENTE.NUEVA PLATAFORMA ELÉCTRICA PREMIUM (PPE) CON ARQUITECTURA DE 800 VOLTIOSLOS MOTORES ELÉCTRICOS OBTIENEN SU ENERGÍA DE UNA BATERÍA DE IONES DE LITIO SITUADA EN LOS BAJOS DE LA CARROCERÍA, CON UNA CAPACIDAD BRUTA DE 100 KWH, DE LOS CUALES PUEDEN UTILIZARSE ACTIVAMENTE HASTA 95 KWH. LA BATERÍA DE ALTA TENSIÓN (HV) ES UN COMPONENTE CENTRAL DE LA PLATAFORMA ELÉCTRICA PREMIUM (PPE) CON ARQUITECTURA DE 800 VOLTIOS DE NUEVO DESARROLLO, QUE PORSCHE UTILIZA POR PRIMERA VEZ EN EL MACAN. LA POTENCIA DE CARGA CON CORRIENTE CONTINUA (CC) LLEGA HASTA 270 KW. LA BATERÍA PUEDE CARGARSE DEL 10 % AL 80 % EN APROXIMADAMENTE 21 MINUTOS EN UNA ESTACIÓN DE CARGA RÁPIDA ADECUADA. EN ESTACIONES DE 400 VOLTIOS, UN CONMUTADOR DE ALTA TENSIÓN PERMITE LA CARGA POR SECCIONES PORQUE DIVIDE EN DOS LA BATERÍA DE 800 VOLTIOS, CADA UNA CON UNA TENSIÓN NOMINAL DE 400 VOLTIOS. ESTO HACE ESPECIALMENTE EFICIENTE LA CARGA DE HASTA 135 KW, SIN NECESIDAD DE UN TRANSFORMADOR DE ALTA TENSIÓN ADICIONAL. LA CARGA DOMÉSTICA CON CORRIENTE ALTERNA (CA) PUEDE ALCANZAR LOS 11 KW. LOS MOTORES ELÉCTRICOS PUEDEN RECUPERAR HASTA 240 KW DE ENERGÍA DURANTE LA MARCHA. EL SISTEMA INTEGRATED POWER BOX (IPB) TAMBIÉN CONTRIBUYE A LA EFICIENCIA DE LOS NUEVOS MODELOS MACAN, AL TIEMPO QUE AHORRA PESO Y ESPACIO. EL INNOVADOR Y COMPACTO IPB COMBINA TRES COMPONENTES: EL CARGADOR INSTALADO DE CA, EL CALENTADOR DE ALTA TENSIÓN Y EL TRANSFORMADOR CC/CC. LA AUTONOMÍA COMBINADA WLTP PUEDE ALCANZAR LOS 613 KILÓMETROS EN EL MACAN 4 Y LOS 591 KM EN EL MACAN TURBO.PROPORCIONES DEPORTIVAS Y LÍNEAS DE COUPÉGRACIAS A LAS PROPORCIONES MÁS ESTILIZADAS Y AL ADN PORSCHE DESIGN, EL NUEVO MACAN TIENE UN ASPECTO DINÁMICO Y CON CARÁCTER. LA SUAVE INCLINACIÓN DEL CAPÓ Y LAS ALETAS MUY PRONUNCIADAS CONFIEREN A ESTE SUV UN ASPECTO ATLÉTICO, INCLUSO CUANDO ESTÁ PARADO. MIDE 4.784 MILÍMETROS DE LARGO, 1.938 MM DE ANCHO Y 1.622 MM DE ALTO. EL NUEVO MACAN ESTÁ EQUIPADO CON LLANTAS DE HASTA 22 PULGADAS, CON NEUMÁTICOS DE DISTINTA ANCHURA EN CADA EJE. LA DISTANCIA ENTRE EJES, 86 MM MAYOR QUE EN EL MODELO ANTERIOR (2.893 MM), SE COMPENSA CON VOLADIZOS CORTOS DELANTE Y DETRÁS. LOS GRUPOS ÓPTICOS ESTÁN DIVIDIDOS EN DOS PARTES: LA UNIDAD SUPERIOR PLANA CON LUCES DIURNAS DE CUATRO PUNTOS ESTÁ INTEGRADA EN LAS ALETAS Y ACENTÚA LA ANCHURA DEL COCHE; EL MÓDULO DE LOS FAROS PRINCIPALES, OPCIONALMENTE CON TECNOLOGÍA MATRIX LED, ESTÁ SITUADO LIGERAMENTE MÁS ABAJO EN EL FRONTAL. LA CARACTERÍSTICA FLYLINE DE PORSCHE FORMA UNA UNIDAD CON LA LUNETA TRASERA PLANA. EN COMBINACIÓN CON LAS VENTANILLAS SIN MARCO Y LAS ALETAS LATERALES, EL RESULTADO ES UN DISEÑO ELEGANTE Y DEPORTIVO. LOS HOMBROS FUERTEMENTE PRONUNCIADOS CONFIEREN A LA ZAGA UN ASPECTO MUSCULOSO. EL LOGO PORSCHE SE SITÚA AHORA EN EL CENTRO DE LA ESCULTURAL BANDA LUMINOSA EN 3D.AERODINÁMICA ACTIVA Y PASIVA PARA UNA MAYOR AUTONOMÍAPORSCHE COMBINA SU ADN DE DISEÑO CON UNA AERODINÁMICA OPTIMIZADA PARA MEJORAR LA AUTONOMÍA. GRACIAS AL SISTEMA PORSCHE ACTIVE AERODYNAMICS (PAA), CON ELEMENTOS ACTIVOS Y PASIVOS, Y UN COEFICIENTE DE RESISTENCIA AL AVANCE DE 0,25, EL NUEVO MACAN ES UNO DE LOS SUV MÁS AERODINÁMICOS DEL MERCADO, LO QUE TIENE EFECTOS POSITIVOS EN LA AUTONOMÍA Y EL CONSUMO. EL SISTEMA PAA INCLUYE EL SPOILER TRASERO ADAPTATIVO, ALETAS DE REFRIGERACIÓN ACTIVAS EN LAS TOMAS DE AIRE DELANTERAS Y CUBIERTAS FLEXIBLES EN LOS BAJOS TOTALMENTE SELLADOS. LOS DEFLECTORES SITUADOS BAJO EL MÓDULO DE LOS FAROS Y EL FRONTAL REBAJADO OPTIMIZAN EL FLUJO DE AIRE. EN LA PARTE TRASERA, LOS BORDES LATERALES Y EL DIFUSOR DE LAMAS GARANTIZAN LA EFICIENCIA AERODINÁMICA.DOS MALETEROS Y MAYOR ESPACIO INTERIOR.DEPENDIENDO DE LA VERSIÓN Y DEL EQUIPAMIENTO INSTALADO, LA CAPACIDAD TRAS EL ASIENTO POSTERIOR LLEGA HASTA 540 LITROS (MODO DE CARGA). ADEMÁS, EXISTE EL FRUNK, UN SEGUNDO MALETERO BAJO EL CAPÓ, CON UNA CAPACIDAD DE 84 LITROS. ESTO SUPONE 127 LITROS MÁS QUE EL MODELO ANTERIOR. SI EL RESPALDO DEL ASIENTO TRASERO SE ABATE POR COMPLETO, EL VOLUMEN DE LA ZONA DE CARGA POSTERIOR AUMENTA HASTA 1.348 LITROS. LA CAPACIDAD MÁXIMA DE REMOLQUE DE 2.000 KILOGRAMOS SE SUMA A LAS CUALIDADES PRÁCTICAS DEL NUEVO MACAN.DEPENDIENDO DE LA VERSIÓN Y DEL EQUIPAMIENTO, EL CONDUCTOR Y EL ACOMPAÑANTE SE SIENTAN AHORA HASTA 28 MM MÁS ABAJO QUE ANTES, MIENTRAS QUE LOS PASAJEROS TRASEROS ESTÁN 15 MM MÁS ABAJO Y TIENEN MAYOR ESPACIO PARA LAS PIERNAS. EL INTERIOR ES INCONFUNDIBLEMENTE PORSCHE: LA ANCHURA DEL PUESTO DE CONDUCCIÓN SE ACENTÚA CON UN PANEL NEGRO INTEGRADO. EL DISEÑO ASCENDENTE DE LA CONSOLA CENTRAL AUMENTA LA IMPRESIÓN DE UNA POSICIÓN BAJA Y CENTRADA EN LAS PRESTACIONES DEL VEHÍCULO. AL MISMO TIEMPO, LAS VENTANILLAS DE GRAN TAMAÑO APORTAN UNA SENSACIÓN DE LUMINOSIDAD Y AMPLITUD A LOS OCUPANTES. ADEMÁS DE LAS MODERNAS INTERFACES DE USUARIO DIGITALES, TAMBIÉN HAY ALGUNOS ELEMENTOS DE CONTROL ANALÓGICOS, POR EJEMPLO, EN LAS SALIDAS DE VENTILACIÓN Y LOS MANDOS DE LA CLIMATIZACIÓN. UNA TIRA DE LUCES LED ESTÁ INTEGRADA EN EL EMBELLECEDOR DEL HABITÁCULO Y LAS PUERTAS. ACTÚA COMO ILUMINACIÓN AMBIENTAL Y COMO LUZ DE COMUNICACIÓN. DEPENDIENDO DE LA SITUACIÓN, PROPORCIONA INFORMACIÓN O AVISOS, POR EJEMPLO, PARA SALUDAR DURANTE LOS PROCESOS DE CARGA O EN COMBINACIÓN CON LOS SISTEMAS DE ASISTENCIA AL CONDUCTOR. EL EQUIPAMIENTO DEL NUEVO MACAN PERMITE UN ALTO GRADO DE PERSONALIZACIÓN.PORSCHE TAMBIÉN SE HA PROPUESTO UTILIZAR MATERIALES MÁS ECOLÓGICOS EN SUS COCHES. UNA PARTE DE ELLOS ESTÁN PRESENTES EN ELEMENTOS SELECCIONADOS DEL INTERIOR DEL MACAN ELÉCTRICO.EXPERIENCIA DE CONDUCCIÓN: GRAN POTENCIA INFORMÁTICA Y CONECTIVIDADEL MACAN ESTÁ EQUIPADO CON EL CONCEPTO DE VISUALIZACIÓN Y MANEJO DE ÚLTIMA GENERACIÓN, CON HASTA TRES PANTALLAS, INCLUYENDO LA INSTRUMENTACIÓN INDEPENDIENTE DE 12,6 PULGADAS CON DISEÑO CURVO Y LA PANTALLA CENTRAL DE 10,9 PULGADAS. COMO NOVEDAD, EL PASAJERO DELANTERO, CON SU PROPIO DISPLAY OPCIONAL DE 10,9 PULGADAS, PUEDE VER INFORMACIÓN, AJUSTAR LA CONFIGURACIÓN DEL SISTEMA DE INFOENTRETENIMIENTO O REPRODUCIR CONTENIDOS DE VÍDEO DURANTE LA MARCHA. POR PRIMERA VEZ, EL SISTEMA PORSCHE DRIVER EXPERIENCE TAMBIÉN INCLUYE UN HEAD-UP DISPLAY CON TECNOLOGÍA DE REALIDAD AUMENTADA. ELEMENTOS VIRTUALES COMO LAS FLECHAS DE NAVEGACIÓN SE INTEGRAN VISUALMENTE A LA PERFECCIÓN EN EL MUNDO REAL. LA IMAGEN APARECE ANTE EL CONDUCTOR A UNA DISTANCIA DE 10 METROS Y EQUIVALE A LA DE UNA PANTALLA DE 87 PULGADAS.EL SISTEMA DE INFOENTRETENIMIENTO DE NUEVA GENERACIÓN SE BASA EN ANDROID AUTOMOTIVE OS. EL SISTEMA PORSCHE COMMUNICATION MANAGEMENT (PCM), DE SERIE EN EL NUEVO MACAN, LLEVA EL RENDIMIENTO INFORMÁTICO A UN NUEVO NIVEL. POR EJEMPLO, EL ASISTENTE DE VOZ “HEY PORSCHE” SUGIERE MUY RÁPIDAMENTE RUTAS, INCLUIDAS LAS PARADAS DE CARGA. EN EL NUEVO PORSCHE APP CENTRE, LOS PASAJEROS PUEDEN ACCEDER DIRECTAMENTE A APLICACIONES POPULARES DE TERCEROS PROVEEDORES E INSTALARLAS DIRECTAMENTE EN EL NUEVO MACAN.PRIMER MACAN CON DIRECCIÓN EN EL EJE TRASERO Y AMORTIGUADORES DE DOS VÁLVULASPORSCHE HA DESARROLLADO EL MACAN CENTRÁNDOSE EN LA DINÁMICA PROPIA DE LA MARCA Y EN UN TACTO DE LA DIRECCIÓN INCONFUNDIBLE. TANTO EL MACAN 4 COMO EL MACAN TURBO TIENEN TRACCIÓN TOTAL. LOS DOS MOTORES ELÉCTRICOS SE CONTROLAN A TRAVÉS DE LA ELECTRÓNICA DE POTENCIA CASI EN TIEMPO REAL. EL SISTEMA PORSCHE TRACTION MANAGEMENT (EPTM), CONTROLADO ELECTRÓNICAMENTE, FUNCIONA UNAS CINCO VECES MÁS RÁPIDO QUE UNA TRACCIÓN INTEGRAL CONVENCIONAL Y PUEDE RESPONDER AL DESLIZAMIENTO EN 10 MILISEGUNDOS. ADEMÁS, LA DISTRIBUCIÓN DE LA TRACCIÓN TOTAL SE RIGE POR EL PROGRAMA DE CONDUCCIÓN SELECCIONADO. EL PORSCHE TORQUE VECTORING PLUS (PTV PLUS), UN BLOQUEO DE DIFERENCIAL CONTROLADO ELECTRÓNICAMENTE EN EL EJE TRASERO, TAMBIÉN CONTRIBUYE A LA TRACCIÓN, LA ESTABILIDAD DE MARCHA Y EL DINAMISMO LATERAL DEL MACAN TURBO. LAS VERSIONES MACAN CON SUSPENSIÓN NEUMÁTICA, DE SERIE EN EL TURBO, ESTÁN EQUIPADAS CON EL CONTROL ELECTRÓNICO DE LA AMORTIGUACIÓN PORSCHE ACTIVE SUSPENSION MANAGEMENT (PASM). TAMBIÉN PUEDE COMBINARSE OPCIONALMENTE CON LA SUSPENSIÓN DE MUELLES DE ACERO. ADEMÁS, EL PASM DISPONE AHORA DE AMORTIGUADORES CON TECNOLOGÍA DE DOS VÁLVULAS. GRACIAS AL MAPA DE AMORTIGUACIÓN MÁS AMPLIO, SE CONSIGUE UN MARGEN MAYOR ENTRE CONFORT Y ESTABILIDAD. ESTO HACE QUE LAS DIFERENCIAS ENTRE LOS PROGRAMAS SEAN AÚN MÁS TANGIBLES.POR PRIMERA VEZ, EL MACAN DISPONE DE DIRECCIÓN OPCIONAL EN EL EJE TRASERO, CON UN ÁNGULO DE GIRO MÁXIMO DE CINCO GRADOS. PERMITE UN REDUCIDO DIÁMETRO DE GIRO DE 11,1 METROS EN EL TRÁFICO URBANO Y AL MANIOBRAR, AL TIEMPO QUE OFRECE UNA ESTABILIDAD EXCEPCIONAL A VELOCIDADES MÁS ALTAS, COMPLEMENTADA POR LA DIRECCIÓN SENSIBLE Y PRECISA DEL EJE DELANTERO POR LA QUE LA MARCA ES CONOCIDA.CARACTERÍSTICAS TÉCNICAS (DATOS OFICIALES SEGÚN PORSCHE AG):- POTENCIA HASTA (KW): 430 KW- AUMENTO SOBRE PODER CON CONTROL DE LANZAMIENTO HASTA (KW): 470 KW- AUMENTO SOBRE PODER CON CONTROL DE LANZAMIENTO HASTA (PS): 639 PS- MÁXIMO TORQUE CON CONTROL DE LANZAMIENTO: 1.130 NM- MÁXIMO TORQUE DE RUEDA CON CONTROL DE LANZAMIENTO: 10.232 NM- CONSUMO ELÉCTRICO COMBINADO: 17,2 KWH/100 KM- VELOCIDAD MÁXIMA: 260 KM/H- ACELERACIÓN 0 - 100 KM/H CON CONTROL DE LANZAMIENTO: 3,3 S- ACELERACIÓN 0 - 160 KM/H CON CONTROL DE LANZAMIENTO: 7,4 S- ACELERACIÓN 0 - 200 KM/H CON CONTROL DE LANZAMIENTO: 11,7 S- ACELERACIÓN (80-120 KM/H) (50-75 MPH) CON CONTROL DE LANZAMIENTO: 2,0 S",tienda,,
Volkswagen,Nivus,2021.0,170 tsi trendline l22,Blanco,Nafta,5.0,MANUAL,,Sí,83700.0,Volkswagen Nivus 170 TSI TRENDLINE L22,25700000.0,$,"¿Estás listo para darle un giro a tu conducción? Descubrí la excelencia de los vehículos de Autoctiy Usados. Ofrecemos una amplia gama de opciones de financiamiento diseñadas para adaptarse a tus necesidades individuales, además de la posibilidad de usar tu auto actual como parte de pago.Solo ofrecemos vehículos del 2010 en adelante, con menos de 130,000 kms recorridos y sin historial de daños estructurales.*BENEFICIOS CON AUTOCTIY USADOS:INSPECCIÓN Y GARANTÍA MECÁNICA (ISO9001): En Autoctiy Usados, la calidad es nuestra prioridad. Nuestros vehículos pasan por una exhaustiva inspección de 240 puntos realizada por nuestro equipo de expertos. Además, cuentan con kilometraje verificado y una garantía mecánica de 3 meses.*PRÓXIMOS PASOS:Contáctanos para programar una visita o reservar el vehículo de tu interés.MÉTODOS DE PAGO:    • FINANCIACIÓN A MEDIDA: Accede al auto de tus sueños con nuestro plan de financiamiento personalizado, con opciones de hasta 60 cuotas fijas.    • DEJA TU AUTO COMO PARTE DE PAGO: Cambia tu vehículo actual por uno de Autoctiy Usados.    • PAGO AL CONTADO: Realiza tu pago mediante transferencia bancaria o depósito, en pesos o dólares.¡Viví tu experiencia Autocity!",tienda,,
Ford,Bronco,1981.0,v8,Negro,Nafta,3.0,AUTOMÁTICA,,,1111111.0,Ford Bronco V8,45000.0,US$,BRONCO V8 351LOOK BRONCO 1997LLANTAS AMERICAN RACINGCAJA AUTOMATICAAIRE ACONDICIONAD( SOLO ENTENDIDOS ),concesionaria,,
Land Rover,Discovery,2021.0,hse sport sdv6,Gris,Diésel,5.0,AUTOMÁTICA,,,96000.0,Land Rover Discovery HSE SPORT SDV6,124900.0,US$,"Desde AutoPremium Usados Seleccionados tenemos para ofrecerte unaLAND ROVER DISCOVERY 5 HSE SPORT SDV6 HSEAÑO 2019 PATENTADA Y RODADA 2021 con 96.000 Kms.Cuenta con toda la documentación al día, listo para transferir.Características destacadas:- CAJA AUTOMATICA- LLANTAS DE ALEACION- CAMARA DE RETROSESO- NAVEGADOR- SENSOR DE ESTACIONAMIENTO- CLIMATIZADOR AUTOMATICO- USB- BLUETOOTH",concesionaria,,
BMW,X6,2021.0,m,Blanco,Nafta,5.0,AUTOMÁTICA,,,23000.0,BMW X6 M XDRIVE,149900.0,US$,EL PRECIO CORRESPONDE A DOLAR INFORMAL TC VENTABMW X6 MAÑO 2018 PATENTADA 2021KMS 23.000PANTALLAS EN PLAZAS TRASERAS - LAMINAS DE SEGURIDAD AUTOSEGURO - CAJA AUTOMATICA DEPORTIVA M DE 8 VELOCIDADES - SISTEMA INTELIGENTE DE TRACCION DE LAS 4 RUEDAS BMW XDRIVE - ACABADOS EN FIBRA DE CARBONO - TAPIZADO DE CUERO - SENSORES DELANTEROS Y TRASEROS - CAMARA DE RETROCESO Y CAMARA FRONTAL - LEVAS AL VOLANTE - CLIMATIZADOR 4 ZONAS - SOFT CLOSE - VOLANTE MULTIFUNCION - DIFERENTES MODOS DE MANEJO - NAVEGADOR - BLUETOOTH - TECHO DE CRISTAL ELECTRICO - PANTALLA DVD - DOCUMENTACION AL DIA - LISTO PARA TRANSFERIR,concesionaria,575.0,4x4
Citroën,C3 Aircross,2024.0,t200 feel pack,Gris,Nafta,5.0,AUTOMÁTICA,,,0.0,Citroën C3 Aircross T200 FEEL PACK 7,29900000.0,$,"***** ATENCION**** CONTAMOS CON STOCK DISPONIBLE *ENTREGA INMEDIATA!!!!EL VALOR DE LA PUBLICACION ES DE CONTADO!!!! CONSULTAR POR NUESTROS DIFERENTES TIPOS DE FINANCIACIONES ¡!!!* Mejoramos cualquier presupuesto del país * *financiacion en cuotas fijas o variables** NAVE MOTORS ** Concesionario con mas de 10 años de experiencia en vehiculos citroën **tenemos la mejor financiacion del mercado** El asesoramiento personalizado, calidad de servicio, buena atención, responsabilidad y transparencia son nuestros principales atributos para que tengas la mejor experiencia de compra ** NO DUDES Y CONSÚLTANOS ANTES DE DECIDIRTE *SIEMPRE CON ¡ENTREGA INMEDIATA!* RETIRA YA TU 0KM CON UN MÍNIMO ANTICIPO y SOLO CON DNI * (FINANCIACIÓN + DESCUENTO) * * * (FINANCIACIÓN + DESCUENTO + TOMA DE TU USADO) ** RESERVA TU TURNO PARA HACER UN TEST DRIVE ** Somos concesionario oficial citroën *",tienda,,
Chevrolet,Tracker,2018.0,premier +,Plateado,Nafta,5.0,AUTOMÁTICA,,,120000.0,Chevrolet Tracker Awd Premier +,14900.0,US$,CHEVROLET TRACKER AWD PREMIER + AÑO 2018 PRIMERA MANO LISTA PARA TRANSFERIR TOMO PERMUTAS VALOR EN PERMUTA U$S 16.000 INFO 11-5002-7704 GRACIAS,concesionaria,,4x4
Toyota,Hilux SW4,2021.0,linea nueva asientos,Blanco,Diésel,5.0,AUTOMÁTICA,,Sí,84000.0,Toyota Sw4 Srx 2021 L Nueva Titular Unica Mano,54900000.0,$,El vendedor no incluyó una descripción del producto,particular,198.0,
BMW,X1,2025.0,18i okm 2025,Blanco,Nafta,5.0,AUTOMÁTICA,,,0.0,Bmw X1 18i Okm 2025 - No Audi Q3 Ni Mercedes Gla,65000.0,US$,"BMW X1 18i Xline Okm 2025( Somos concesionario oficial BMW )Versión full - LINEA NUEVA 20254x2 - 140 cv TurboLa más esperada del añoTablero curvoLa versión full agrega doble techo + asiento eléctrico + Llanta deportivaColores disponibles: Blanca / negra / azulPrecio Lista / Permuta u$s 69.900 dólaresPrecio Contado Efectivo u$s 65.000 dólares• TOMA DE USADOS:Deberá mandarnos por whatsapp :Fotos - Km - Año - Versión - Estado de neumáticosEl usado puede ser de cualquier marcaLa toma del usado se hace sobre el precio de listaDesde el botón WHATSAPP se contacta inmediatamente.•Respondermos su consulta por whatsapp en el momento •Concesionario oficial BMWMisael Ferrer+ Aceptamos Transferencia en Pesos o Dólares ++ Cuentas bancarias en todos los bancos +• Bell Motors - Concesionario oficial BMW •Compre tranquilo, compre en concesionario oficial• ATENCIÓN PERSONALIZADA• DOCUMENTACIÓN AL DÍA Y LISTA PARA PATENTARContamos con Administración y GestoríaEspecificaciones del vehículo:Motor 3 cilindros / 140 hpTransmisión Caja de cambios automática de 7 velocidades con tecnología de embrague doble y aplicación más deportivaTracción 4x2Tanque de gasolina 51 litrosRendimiento Combinado: 6.0 LEquipamiento exteriorDoble techo eléctrico panorámicoLlantas de aleación ligera de 18 pulgadasNeumáticos de emergenciaPaquete de espejos retrovisores exteriores plegablesAccionamiento automático del portón traseroCámara para marcha atrásPaquete de retrovisores interior y exterioresSensores de estacionamiento delanteros y traserosAcceso confort: no necesita llave para abrir y cerrar las puertasEl portón trasero se abre pasando el píe por debajo del paragolpes.Estaciona completamente sólo paralelo o perpendicular.Asistente de luz de carreteraEquipamiento interiorCargador inalámbrico para el celularVolante multifuncionalAlfombrillas de veloursRetrovisor interior, con ajuste automático anti-deslumbramientoReposabrazos delanteroAsientos deportivos para conductor eléctrico con memoriaPaquete de compartimentosClimatizador automático bi zonaPaquete de iluminación exterior e interiorVolante deportivo de cueroTapizado de cuero microperforadoComunicación y entretenimientoApple CarPlay y Android auto incluidos de fábricaAppsSeguridadTornillos antirrobo para las llantasDispositivo de alarmaIluminación y visibilidadFaros LED con contenido ampliado adaptativoAsistencia a la conducciónCaja de cambios Steptronic Sport con doble embragueControl de crucero con función de frenadoPantalla táctil curva de de 11 pulgadas",concesionaria,140.0,
Alfa Romeo,Stelvio,2025.0,new tributo italiano,Blanco,Nafta,5.0,AUTOMÁTICA,,,0.0,Alfa Romeo Stelvio Tributo Italiano Q4,86000.0,US$,Alfa Romeo Stelvio Veloce 2.0T 280cv Q4 - Año Modelo 2025 - 0km - Bonificación especial por apertura de nuevo punto de venta Pilar Km47 Máximo equipamiento. Maximos niveles de seguridad y asistencias para la conducción La mejor garantía del mercado con 5 años desde su PatentamientoAlfa Romeo Giulia y Stelvio son elegidos por la Scuderia Ferrari de Fórmula 1 como los vehículos oficiales de traslado para sus pilotos y personal del equipo más importante del mundo.Unidades físicas - Entrega Asegurada Javier Barbieri - Asesor Comercial Alfa Romeo Argentina - 1161172684Nueva sucursal PILAR Panamericana km47,concesionaria,280.0,
Land Rover,Evoque,2016.0,si4,Blanco,Nafta,5.0,AUTOMÁTICA,,,130000.0,Range Rover Evoque Si4 At,43000.0,US$,"RYO AUTOMOTORES - Tu mejor opción para compra y venta de autos en una sola Agencia Multimarca.¿Buscas comprar o vender un auto de manera rápida y segura? En RYO AUTOMOTORES, te brindamos la solución perfecta. Nuestra agencia te ofrece una experiencia sin complicaciones, rápida y confiable para satisfacer tus necesidades.Con nosotros, podrás encontrar autos de calidad, completamente libres de multas y sin riesgo de fraude. Ya sea que estés buscando tu próximo vehículo o quieras vender el tuyo, en RYO AUTOMOTORES hacemos que el proceso sea fácil y seguro.¿Necesitas financiación? No te preocupes, con tan solo tu DNI podrás acceder a opciones de financiamiento. Nuestro objetivo es simplificar cada paso para que puedas conducir el auto de tus sueños de la manera más conveniente.¿Estás listo para vender tu auto? ¡Estamos aquí para ayudarte! Contáctanos y descubrí por qué somos tu mejor opción. Ofrecemos las tasas más bajas del mercado, asegurándote la mejor oferta.No dudes en solicitar más información.¡Hacé clic en ""Preguntar"" o contáctanos a través de Whatsapp! En RYO AUTOMOTORES, estamos comprometidos a hacer que tu experiencia de compra y venta sea excepcional.",concesionaria,,
D.S.,DS7 Crossback,2022.0,e-tense 300 bastille,Gris,Nafta,5.0,AUTOMÁTICA,,Sí,57200.0,D.s Ds7 Crossback E-tense 4x4 300 Bastille,54000.0,US$,"ATENCION!! COORDINAR CITA PREVIA PARA VER ESTA UNIDAD!!!!El precio publicado es de contado y es a tipo de cambio blue del momento.FINANCIACIÓN disponible a través de crédito prendario.DS DS7 Crossback E-tense 4x4 300 Bastille- Año 2022- 57200km.TOMAMOS UNO O MÁS USADOS EN PARTE DE PAGO.¿QUERES VENDER TU AUTO, PERO NECESITAS SEGUIR USANDOLO?¡PODEMOS TRABAJARLO DE ESA FORMA!TAMBIEN PODEMOS COMPRAR TU AUTO!Para más información contactanos.ESTACIONAMIENTO: Contamos con cocheras de cortesia enfrente.AUTOEMOCION",concesionaria,,4x4
